genres,tmdbId,poster_path,title,overview
Animation Comedy Family,862.0,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Toy Story,Led Woody Andys toys live happily room Andys birthday brings Buzz Lightyear scene Afraid losing place Andys heart Woody plots Buzz But circumstances separate Buzz Woody owner duo eventually learns aside differences
Adventure Fantasy Family,8844.0,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,Jumanji,When siblings Judy Peter discover enchanted board game opens door magical world unwittingly invite Alan adult whos trapped inside game 26 years living room Alans hope freedom finish game proves risky running giant rhinoceroses evil monkeys terrifying creatures
Romance Comedy,15602.0,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,Grumpier Old Men,A family wedding reignites ancient feud nextdoor neighbors fishing buddies John Max Meanwhile sultry Italian divorcée opens restaurant local bait shop alarming locals worry shell scare fish away But shes interested seafood cooking hot time Max
Comedy Drama Romance,31357.0,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,Waiting to Exhale,Cheated mistreated stepped women holding breath waiting elusive good man break string lessthanstellar lovers Friends confidants Vannah Bernie Glo Robin talk determined better way breathe
Comedy,11862.0,/e64sOI48hQXyru7naBFyssKFxVd.jpg,Father of the Bride Part II,Just George Banks recovered daughters wedding receives news shes pregnant Georges wife Nina expecting He planning selling home thats plan like George change arrival grandchild kid
Action Crime Drama Thriller,949.0,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Heat,Obsessive master thief Neil McCauley leads topnotch crew insane heists Los Angeles mentally unstable detective Vincent Hanna pursues rest Each man recognizes respects ability dedication aware catandmouse game end violence
Comedy Romance,11860.0,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,Sabrina,An ugly duckling having undergone remarkable change harbors feelings crush carefree playboy businessfocused brother
Action Adventure Drama Family,45325.0,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,Tom and Huck,A mischievous young boy Tom Sawyer witnesses murder deadly Injun Joe Tom friends Huckleberry Finn boy future family Tom choose honoring friendship honoring oath town alcoholic accused murder Tom Huck adventures trying retrieve evidence
Action Adventure Thriller,9091.0,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,Sudden Death,International action superstar Jean Claude Van Damme teams Powers Boothe Tensionpacked suspense thriller set backdrop Stanley Cup gameVan Damme portrays father daughter suddenly taken championship hockey game With captors demanding billion dollars games end Van Damme frantically sets plan motion rescue daughter abort impending explosion final buzzer
Adventure Action Thriller,710.0,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,GoldenEye,James Bond unmask mysterious head Janus Syndicate prevent leader utilizing GoldenEye weapons inflict devastating revenge Britain
Comedy Drama Romance,9087.0,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,The American President,Widowed US president Andrew Shepherd worlds powerful men wants covets Sydney Ellen Wade Washington lobbyist But Shepherds attempts courting spark wild rumors decimate approval ratings
Comedy Horror,12110.0,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,Dracula: Dead and Loving It,When lawyer shows vampires doorstep falls prey charms joins search fresh blood Enter Dr van Helsing able vanquish count
Family Animation Adventure,21032.0,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,Balto,An outcast halfwolf risks life prevent deadly epidemic ravaging Nome Alaska
History Drama,10858.0,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,Nixon,An allstar cast powers epic look American President Richard M Nixon man carrying fate world shoulders battling selfdestructive demands Spanning troubled boyhood California shocking Watergate scandal end presidency
Action Adventure,1408.0,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Cutthroat Island,Morgan Adams slave William Shaw quest recover portions treasure map Unfortunately final portion held murderous uncle Dawg Her crew skeptical leadership abilities complete quest mutiny This difficult efforts British crown end pirate raids
Drama Crime,524.0,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Casino,The life gambling paradise Las Vegas dark mafia underbelly
Drama Romance,4584.0,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Sense and Sensibility,Rich Mr Dashwood dies leaving second wife daughters poor rules inheritance Two daughters titular opposites
Crime Comedy,5.0,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Four Rooms,Its Ted Bellhops night joband hotels unusual guests place outrageous predicaments It evenings room service serving unbelievable happening
Crime Comedy Adventure,9273.0,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,Ace Ventura: When Nature Calls,Summoned ashram Tibet Ace finds perilous journey jungles Africa Shikaka missing sacred animal friendly Wachati tribe He accomplish wedding Wachatis Princess prince warrior Wachootoos If Ace fails result vicious tribal war
Action Comedy Crime,11517.0,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,Money Train,A vengeful New York transit cop decides steal trainload subway fares foster brother fellow cop tries protect
